accident_id,source,source_id,date,latitude,longitude,state,location_name,route_name,route_grade,accident_type,activity,severity,fatalities,injuries,description
1,avalanche,252d9f2f-8657-480c-9b3b-9871335de725,2026-01-11,39.6508158,-105.8645133,CO,"Cupid Peak, southeast of Loveland Pass",,,avalanche,backcountry_skiing,minor,0,1,"I triggered and was carried 10-15 feet in a wind slab avalanche. Probably just D1. SE aspect. Was able to self arrest fairly easily and the slide path was not long. Still got taken for a ride and it was not a good feeling. 

Our objective was to ski an apron, and we followed a skin track that we knew was bringing us to another place, but we thought we could traverse over once above treeline. Should have just skinned up to the apron we planned to ski. Instead, we ended up far above our objective in a wind-loaded chute. My partner side-stepped down the thin coverage, and I tried to find deeper snow to ski down. Unfortunately, the deeper snow was the wind-loaded snow. 

Lucky to not have any injuries and not have been carried very far. Close call. "
2,avalanche,62184da5-20ab-4158-8c93-eaee91b4f7d7,2026-01-11,42.5496273,-110.723173,WY,La Barge Creek,,,avalanche,snowmobiling,fatal,1,1,"On Sunday, January 11, 2026, at approximately 2pm, a party of two snowmobilers was involved in a fatal avalanche accident in LaBarge Creek, about one mile south of the Commissary Ridge weather station. One rider rode on a 38 degree slope over a creek bed while his partner rode nearby. The rider triggered a weak layer approximately two feet below the surface. The resulting avalanche slid into the creekbed and buried the rider 2-3 feet deep. His partner noticed no engine noises and returned to find an avalanche had occurred. He began companion rescue efforts and began CPR upon finding his partner buried beside his snowmobile on flat ground at the base of the slope. The rider had deployed his airbag in the slide but the short distance the avalanche fell (~60 feet) allowed no time for the airbag to lift him to the surface. The avalanche (SS-AMu-D2R3-O) failed on a layer of surface hoar that had developed in this moist, cold, wind sheltered spot near the creek. Find more information about this avalanche here and a video here.

BTAC forecasters extend their deepest condolences to family, friends and others affected by this tragedy. Forecast staff will produce a more detailed report as more information becomes available. Thanks to Lincoln County Sheriff’s office and especially Star Valley SAR for providing details about the accident.

<a href=""https://bridgertetonavalanchecenter.org/observations/#/view/observations/88646ed6-8055-49b3-bf2b-5846e2fc1d84"">Photos and technical details in the BTAC observation</a> "
3,avalanche,4966fac5-1f5e-4c9d-885b-c99d07c049c9,2026-01-10,39.69424,-105.8918178,CO,Mount Trelease,,,avalanche,backcountry_skiing,serious,0,2,I was cutting across skier's left when the ridge above and the snow below me cracked and avalanched. Sat down and spread out to stay on top. I was carried for a 35ish yards and came to a stop. Pulled some minor debris off myself and carried on. My ski partner watched for my head and checked up on me afterwards. Did not have time or energy to record more observations or pictures. Happened around 2 PM.
4,avalanche,33c5619f-ca13-4580-bd05-55841948e295,2026-01-10,40.3046179,-105.6621479,CO,Hallett Peak,,,avalanche,backcountry_skiing,minor,0,2,"We entered this terrain planning to ski cut. We saw cracking while booting to our objective, redirecting the path around slabby areas. We ski cut the upper chute. The wind slab we triggered cleared the upper chute and skier's left of the lower run. The ski cutter entered an island of safety midway, stopping above the uncleared snow. The 2nd rider stopped below the 1st. 

The 3rd leapfrogged, entering the untouched slope, with the speed from the upper chute. It cracked above him with an 8 to 14 inch crown. It caught, carried, and briefly buried him. He grabbed a tree, dislocated his shoulder, and ended up on the surface. As the other two dropped to help, the upper skier triggered the remaining hangfire, which carried the lower rider. The slide stopped after 10-15 feet. Shoulder relocated, descended the rest of the way to Haiyaha, ascended Dream Ridge, and shredded out the dream chutes. Spirits were high, we were happy to be at the trailhead; a beer was drank, and we talked about our experience after. 

The lower section often sheds while entering the island of safety, when in similar conditions. The leap frogging, the lack of a second ski cut, skiing(shredding) fast into uncleared terrain, and additional hangfire. We knew the terrain, we knew the conditions, we had a plan. We deviated with the leapfrog."
5,avalanche,b7677b5b-aa25-4338-ad12-b71a48497955,2026-01-10,39.7767279,-105.8890632,CO,Jones Pass,,,avalanche,backcountry_skiing,minor,0,1,
6,avalanche,7da4066a-50fd-4a74-a4e0-6addca1dbf1e,2026-01-09,39.6278701,-106.3077296,CO,Pt 11020,,,avalanche,backcountry_skiing,serious,0,2,
7,avalanche,2c327113-50f0-4a81-b1d3-8a2d70b592d1,2026-01-09,47.4493482,-120.925877,WA,Longs Pass,,,avalanche,backcountry_skiing,fatal,2,5,"PRELIMINARY: On Friday, January 9th, four backcountry skiers were caught and carried by a large avalanche while descending near Longs Pass in the Teanaway River drainage. The slide occurred on an S to SE facing slope at approximately 6200ft. One member of the party was not buried. Another teammate was partially buried but injured. The other two individuals were fully buried. During the initial rescue, the team located one of the buried victims, who did not survive. Despite the group's best efforts, they could not pinpoint the fourth member of their team. The party contacted 911 via a satellite device, and Kittitas County Search and Rescue responded to the area on Friday evening. Additional rescue efforts were postponed until daylight. Search and Rescue then returned to the site on Saturday and were joined by NWAC forecasters. The teams were able to locate the remaining victim. Unfortunately, neither of the fully buried skiers survived. Our deepest condolences to the family, friends, and community of those involved in this avalanche accident. "
8,avalanche,e6d83fdc-e970-458c-a548-d17069c7bc16,2026-01-05,39.3721732,-120.3495536,CA,Castle Peak,,,avalanche,snowmobiling,fatal,1,1,"A snowmobiler triggered avalanche occurred on Monday January 5, 2026.  The snowmobiler was buried and killed in the avalanche.   A group of 5 snowmobilers were riding between Castle and Basin Peaks where the avalanche was triggered during the early afternoon and was reported at 2:30pm.  After the avalanche occurred, the remaining group searched, found, and dug up their partner and began CPR.  The group was assisted by other riders in the area that responded and helped with CPR and communications.  Organized search and rescue operations responded to the incident.      

SAC Forecasters went to the avalanche site and gathered additional information on Tuesday, January 6, 2026.  We found a size D2 wind slab avalanche that ranged from 1 to 2 feet deep, 330' wide x 150' vertical drop.  Gale force winds on Sunday night through Monday (Jan 4-5) transported a considerable amount of snow at the tail end of the Friday-Sunday (January 2-5) storm cycle that brought 2 to 4 feet of snow to the forecast region.  Large amounts of blowing and drifting snow were ongoing when the avalanche occurred.  We saw multiple previous slab avalanches that occurred during the Sunday-Monday period in this area.  This wind slab avalanche had wide propagation on a steep slope that ran down into dense trees.  The strong winds formed dense slabs of wind drifted snow on top of less dense layers of snow.  Rimed needle snow crystals were identified in the non-persistent weak layer associated with this avalanche.

Our condolences go out to the victim's family and friends and all those affected by this tragic accident.  We have limited information about the group and where the riders where on the slope when the avalanche was triggered.  It is believed that the avalanche was triggered while traversing low on the slope.  We will update this page as more details become available.

<a href=""https://www.sierraavalanchecenter.org/observations/#/view/observations/0b09efc9-7753-4faa-a08c-75002f77b2e9"">SAC observation</a>"
9,avalanche,afdae99d-fbfe-435d-93ee-e29ce704274d,2026-01-04,38.94281,-106.37734,CO,"Missouri Mountain, northwest of Buena Vista",,,avalanche,ice_climbing,minor,0,1,
10,avalanche,7cd37e4d-57bb-4f7f-a1e2-a480815b225c,2026-01-04,37.8339499,-107.6971537,CO,Anvil Mountain,,,avalanche,backcountry_skiing,minor,0,1,
