mountain_id,name,alt_names,elevation_ft,prominence_ft,type,range,state,latitude,longitude,location,accident_count
mt_47aa3dc9,McKinley,Denali,20310.0,20156.0,peak,Alaska Range,Alaska,63.0695,-151.0074,Austrian Mountain,197
mt_9294ee3d,Rainier,,14411.0,13211.0,peak,Cascade Range,Washington,46.8523,-121.7603,Mount Rainier National Park,102
mt_14da5435,Hood,,11250.0,7706.0,peak,Cascade Range,Oregon,45.3736,-121.696,Portland Mountain,70
mt_56d0945d,Shasta,,14179.0,9832.0,peak,Cascade Range,California,41.4093,-122.1949,Bay Area Mountain,61
mt_66937502,Longs,,14259.0,2942.0,peak,Front Range,Colorado,40.2549,-105.6151,Rocky Mountain National Park,41
mt_0ed2b406,Washington,,6288.0,6148.0,peak,Presidential Range,New Hampshire,44.2705,-71.3033,New Hampshire Mountain,41
mt_44fdfd6b,Temple,,11627.0,2090.0,peak,Canadian Rockies,Alberta,51.35,-116.2167,Rocky Mountain,24
mt_7109d51d,Redgarden,,7000.0,,crag,Front Range,Colorado,39.9311,-105.2928,Eldorado Canyon State Park,16
mt_69727fef,Robson,,12972.0,9908.0,peak,Canadian Rockies,British Columbia,53.1097,-119.1564,Rocky Mountain,12
mt_7b97df22,Athabasca,,11453.0,2979.0,peak,Canadian Rockies,Alberta,52.6942,-117.2133,Rocky Mountain,12
mt_102b4fe6,Jefferson,,10502.0,4810.0,peak,Cascade Range,Oregon,44.6744,-121.799,I have been compiling and editing Accidents in North American Mountain,12
mt_4f732de8,Rundle,,9675.0,2775.0,peak,Canadian Rockies,Alberta,51.1333,-115.4333,Rocky Mountain,12
mt_623466d6,Baker,,10781.0,8812.0,peak,North Cascades,Washington,48.7767,-121.8144,a party of 11 was on three ropes descending the Roman Wall,11
mt_873d1ed8,Teewinot,,12330.0,1230.0,peak,Teton Range,Wyoming,43.7763,-110.8219,Grand Teton National Park,11
mt_53f8d8e0,Yamnuska,,7903.0,1079.0,peak,Canadian Rockies,Alberta,51.13,-114.98,Rocky Mountain,11
mt_6a601427,Cathedral,,,,unknown,,California,37.8651,-119.5383,Yosemite National Park,10
mt_4922909f,Cascade,,,,unknown,,Alberta,40.3428,-105.6836,Rocky Mountain,10
mt_d539d9ce,Moran,,,,unknown,,Wyoming,43.7904,-110.6818,Grand Teton National Park,10
mt_5efd5935,Whitney,,14505.0,10080.0,peak,Sierra Nevada,California,36.5785,-118.2923,China Lake Mountain,10
mt_a3452f94,Pilot,,,,unknown,,North Carolina,36.3378,-80.4697,Pilot Mountain State Park,10
mt_2ec4b806,Crowders,,,,unknown,,North Carolina,35.2095,-81.2981,Crowders Mountain State Park,9
mt_6b1b36cb,Hunter,,14573.0,3966.0,peak,Alaska Range,Alaska,62.9804,-151.0984,Andy Carson and Charles Crag,9
mt_08c160d7,Red Garden,,,,unknown,,Colorado,39.9311,-105.2928,Eldorado Canyon State Park,8
mt_a0428c08,Back of the Lake,,,,unknown,,Alberta,40.3428,-105.6836,Rocky Mountain,8
mt_c77c94c2,Andromeda,,11319.0,1460.0,peak,Canadian Rockies,Alberta,52.2,-117.2833,Rocky Mountains,8
mt_39819893,Hallett,,,,unknown,,Colorado,40.3428,-105.6836,Rocky Mountain National Park,8
mt_3447adfd,Logan,,,,unknown,,Washington,41.7369,-111.8225,the Kluane National Park,8
mt_e305d845,Moore's,,,,unknown,,North Carolina,36.3956,-80.2628,s Wall,7
mt_13621569,Tunnel,,,,unknown,,Alberta,40.3428,-105.6836,Rocky Mountain,7
mt_3ad540a1,Shuksan,,9131.0,4426.0,peak,North Cascades,Washington,48.8098,-121.6065,A North Cascade National Park,7
mt_8d4575cf,Foraker,,17400.0,7250.0,peak,Alaska Range,Alaska,62.9604,-151.3998,Mountain,7
mt_abd7372b,Wilson,,,,unknown,,Alberta,51.45,-116.0667,Banff National Park,7
mt_ec039747,Lefroy,,,,unknown,,Alberta,51.3667,-116.3333,Rocky Mountain,7
mt_bface9aa,Edith,,,,unknown,,Alberta,40.3428,-105.6836,Rocky Mountain,7
mt_9843ebc7,Disappointment,,,,unknown,,Wyoming,43.076,-107.2903,Disappointment Peak,7
mt_407cb343,Stuart,,9415.0,5330.0,peak,Cascade Range,Washington,47.4753,-120.9025,,6
mt_3cc4a9a4,Adams,,12281.0,8116.0,peak,Cascade Range,Washington,46.2024,-121.4909,Mount Adams,6
mt_341e76dc,Olympus,,7980.0,7818.0,peak,Olympic Mountains,Washington,47.8013,-123.7108,Olympic National Park,6
