climber_id,username,location,years_climbing,bio,total_ticks,mp_user_id
1,Greg Gibson,,,,,
2,Greg Gibson,,,,,105825753.0
3,lperitz22,,,,,106237673.0
4,NNW,,,,,106285485.0
5,Jacob Wells,,,,,200619176.0
6,Mark Thomas,,,,,200046225.0
7,Mark Thomas,,,,,200435677
8,Matt Nelson,,,,,201715209
9,James Schroeder,,,,,200399485
10,Justin Watts,,,,,200132657
11,Sunny-D,,,,,105846794
12,Isaac Tait,,,,,105889684
13,Tristan Paine,,,,,200336664
14,ben dahl,,,,,202036576
15,Kiki O,,,,,200243173
16,StirFry Beans,,,,,201925923
17,Conrad Cartmell,,,,,201708661
18,Todd Raleigh,,,,,110252805
19,Liang Dong,,,,,202160422
20,Joey Rosen,,,,,
21,Joey Rosen,,,,,201478950
22,John Dixon,,,,,201131118
23,Chris Mo,,,,,200832270
24,Natalia Rz,,,,,201866158
25,Logan Jones,,,,,201890101
26,Peter Throckmorton,,,,,111756555
27,Brian Walker,,,,,200608388
28,Ellie Bell,,,,,200579435
29,Jared Horvath,,,,,200536213
30,Jake Albright,,,,,200418015
31,Kelsey Quinn,,,,,200329910
32,Daniel Ragsdale,,,,,107046793
33,Travis OC,,,,,200124706
34,jasong,,,,,105819782
35,Joe Ludlow,,,,,106786602
36,Ethan Lamb,,,,,200352368
37,Koy,,,,,106324178
38,Royal,,,,,106794218
39,Ethan Mansfield,,,,,107022474
40,John Rader,,,,,7077635
41,William Thiry,,,,,107390765
42,Dom Papez,,,,,200054295
43,Joe Kelly,,,,,201527124
44,Finn Shalhoup,,,,,201731289
45,ryan ernst,,,,,201825965
46,Hieu L,,,,,201330156
47,Neill C,,,,,200647607
48,Chris Outings,,,,,201474709
49,Belle Newby,,,,,200684820
50,Rachel Longridge,,,,,202125060
51,Evan Davis,,,,,201715617
52,Nicola G,,,,,201514340
53,Justin Monoskier,,,,,201604829
54,Tristan Brewer,,,,,201100959
55,Ben W,,,,,201670273
56,denverluttrell,,,,,112002936
57,JT Saporito,,,,,200618758
58,Anonymous,,,,,200176715
59,Andrew Veal,,,,,201820888
60,Michael Foy,,,,,10716
61,Steven N,,,,,200440505
62,Jason Kaplan,,,,,201776346
63,Dan Brockway,,,,,105792708
64,Jim Campbell,,,,,200852443
65,Christopher Fish,,,,,201408741
66,Joey Fournier,,,,,201697798
67,Cain Edie,,,,,201706361
68,Mike Casazza,,,,,200326712
69,Jacob Brady,,,,,201146766
70,Derrick Girard,,,,,200899174
71,Kenneth Hoehn,,,,,200608718
72,Nate Courcy,,,,,201958306
73,Scott Berk,,,,,108363807
74,Sharon McElroy,,,,,108328867
75,Alex Laz,,,,,112018704
76,Peter Regan,,,,,110784638
77,Dane Mulligan,,,,,112467804
78,Mauricio Herrera Cuadra,,,,,107869180
79,Bogdan Petre,,,,,107727480
80,Ian M,,,,,200549515
81,Zachary Lentsch,,,,,200109806
82,Will Hodgson,,,,,200203070
83,Thomas S,,,,,201751863
84,Clayton,,,,,202101204
85,Tim Leisman,,,,,201267797
86,Alan Swavely,,,,,202112317
87,Luc Larson,,,,,200644350
88,Michael May,,,,,200308093
89,Dakota Cunningham,,,,,201004342
90,Sasha Timkovich,,,,,112151773
91,Jeffrey Lash,,,,,107617612
92,Shana Shapiro,,,,,112540281
93,BJ Creehan,,,,,201837102
94,Hunter Creed,,,,,108375710
95,Michelle Dvorak,,,,,111764578
96,Tom Ashley,,,,,200462500
97,Nick Brune,,,,,201429985
98,Hailey K,,,,,201257192
99,Eli Spitulnik,,,,,200241746
100,Bug Boy,,,,,200140660
101,Connor White,,,,,7064576
102,Christian W,,,,,200218676
103,Alyssa Hargis,,,,,201234508
