accident_id,original_location,method,reason,latitude,longitude,matched_name
23,,skipped,no location text,,,
29,,no_match,no suitable match found,,,
30,,skipped,no location text,,,
42,Sawtooth Mountain,no_match,no suitable match found,,,
63,Charlevoix Mountain,no_match,no suitable match found,,,
65,Bugaboo Mountain,no_match,no suitable match found,,,
70,,skipped,no location text,,,
74,,skipped,no location text,,,
92,Moore's,mountains_db,,36.3956,-80.2628,Moore's
97,Marty Donahue and six Boy Scouts stopped on their way home from Camp Mountain,no_match,no suitable match found,,,
113,Coast Mountain,no_match,no suitable match found,,,
118,Borah,mountains_db,,39.5501,-105.7821,Borah
122,Sandia Mountain,no_match,no suitable match found,,,
124,,no_match,no suitable match found,,,
133,Coast Mountain,no_match,no suitable match found,,,
141,,no_match,no suitable match found,,,
181,,no_match,no suitable match found,,,
204,Coast Mountain,no_match,no suitable match found,,,
220,Idaho State Park,no_match,no suitable match found,,,
240,Sandia Mountain,no_match,no suitable match found,,,
250,Rock Mountain,no_match,no suitable match found,,,
264,Coast Mountain,no_match,no suitable match found,,,
287,Elias Mountain,no_match,no suitable match found,,,
296,plus two instructors from the Quebec Mountain,no_match,no suitable match found,,,
316,,no_match,no suitable match found,,,
317,Northern Selkirk Mountain,no_match,no suitable match found,,,
321,Coast Mountain,no_match,no suitable match found,,,
335,,no_match,no suitable match found,,,
344,,no_match,no suitable match found,,,
357,Quebec Mountain,no_match,no suitable match found,,,
384,Canyon Creek Crag,no_match,no suitable match found,,,
409,Watchtower Peak,no_match,no suitable match found,,,
413,Quebec Mountain,no_match,no suitable match found,,,
422,Quebec Mountain,no_match,no suitable match found,,,
438,,skipped,no location text,,,
439,,skipped,no location text,,,
442,,skipped,no location text,,,
461,Ski Mountain,no_match,no suitable match found,,,
463,Head Wall,no_match,no suitable match found,,,
469,Both of them are Wilderness,no_match,no suitable match found,,,
474,Candian Border Peak,no_match,no suitable match found,,,
494,Pinnacle,mountains_db,,34.0489,-111.0937,Pinnacle
501,Northern Selkirk Mountain,no_match,no suitable match found,,,
519,,no_match,no suitable match found,,,
527,,no_match,no suitable match found,,,
530,,no_match,no suitable match found,,,
536,Rocky Canyon,no_match,no suitable match found,,,
574,A climber from another group contacted National Park,no_match,no suitable match found,,,
579,,skipped,no location text,,,
583,,skipped,no location text,,,
588,,no_match,no suitable match found,,,
603,Little Blue Mountain,no_match,no suitable match found,,,
630,according to Wall,no_match,no suitable match found,,,
632,,no_match,no suitable match found,,,
639,,no_match,no suitable match found,,,
641,Katahdin,mountains_db,,45.9187,-68.8597,Katahdin
643,Ron Echo Provincial Park,no_match,no suitable match found,,,
659,No Man’s Land,routes_db,,39.9311,-105.2928,no man’s land
663,Back of the Lake,mountains_db,,40.3428,-105.6836,Back of the Lake
677,Whitesides Mountain,no_match,no suitable match found,,,
719,Sandia Mountain,no_match,no suitable match found,,,
747,,skipped,no location text,,,
749,Off belay.,routes_db,,39.7528,-105.3614,Off belay.
751,,skipped,no location text,,,
764,,skipped,no location text,,,
765,,no_match,no suitable match found,,,
768,Waterton National Park,no_match,no suitable match found,,,
770,,skipped,no location text,,,
771,Maligne Canyon,no_match,no suitable match found,,,
772,,skipped,no location text,,,
776,,skipped,no location text,,,
788,,no_match,no suitable match found,,,
799,Northeast Face,routes_db,,52.2,-117.2833,Northeast Face
800,Mount Revelstoke National Park,no_match,no suitable match found,,,
809,Yellow,mountains_db,,43.2994,-74.2179,Yellow
815,Castle,mountains_db,,51.4968,-115.9281,Castle
821,George Wall,no_match,no suitable match found,,,
823,Louis,mountains_db,,40.3428,-105.6836,Louis
833,s Peak,no_match,no suitable match found,,,
849,authorities at Peter Lougheed Provincial Park,no_match,no suitable match found,,,
850,,no_match,no suitable match found,,,
852,,no_match,no suitable match found,,,
861,,no_match,no suitable match found,,,
865,Sauartown Mountain,no_match,no suitable match found,,,
888,Spring,routes_db,,64.2008,-149.4937,spring
890,,no_match,no suitable match found,,,
933,Northeast Face,routes_db,,52.2,-117.2833,Northeast Face
960,,no_match,no suitable match found,,,
961,,no_match,no suitable match found,,,
963,,no_match,no suitable match found,,,
966,,skipped,no location text,,,
1016,Grandfather Mountain,no_match,no suitable match found,,,
1037,,no_match,no suitable match found,,,
1038,,no_match,no suitable match found,,,
1041,Red River Gorge State Park,no_match,no suitable match found,,,
1049,Organ Mountain,no_match,no suitable match found,,,
1054,West Face,routes_db,,62.9804,-151.0984,West Face
1055,,skipped,no location text,,,
1056,,skipped,no location text,,,
1057,10c on Transformer Wall,no_match,no suitable match found,,,
1059,,no_match,no suitable match found,,,
1061,Steven Wall,no_match,no suitable match found,,,
1062,Black,mountains_db,,48.7718,-121.2985,Black
1064,,no_match,no suitable match found,,,
1069,,no_match,no suitable match found,,,
1073,,no_match,no suitable match found,,,
1081,,no_match,no suitable match found,,,
1087,Prentice Cooper State Park,no_match,no suitable match found,,,
1089,,no_match,no suitable match found,,,
1108,Both Ian and I are Wilderness,no_match,no suitable match found,,,
1136,Stoneworks,mountains_db,,40.3428,-105.6836,Stoneworks
1144,Sandia Mountain,no_match,no suitable match found,,,
1154,West Face,routes_db,,62.9804,-151.0984,West Face
1181,Fall on Indoor Climbing Wall,no_match,no suitable match found,,,
1203,,skipped,no location text,,,
1227,Moore's,mountains_db,,36.3956,-80.2628,Moore's
1239,,no_match,no suitable match found,,,
1245,,no_match,no suitable match found,,,
1256,It certainly pays to climb with a partner trained in rescue and Wilderness,no_match,no suitable match found,,,
1265,Sir,mountains_db,,50.2667,-117.2833,Sir
1266,Moore's,mountains_db,,36.3956,-80.2628,Moore's
1280,,no_match,no suitable match found,,,
1292,Waterton Lakes National Park,no_match,no suitable match found,,,
1306,Waterton Lakes National Park,no_match,no suitable match found,,,
1309,Golden Canyon,no_match,no suitable match found,,,
1318,Jemez Mountain,no_match,no suitable match found,,,
1343,Auyuittuq National Park,no_match,no suitable match found,,,
1344,Cougar Canyon,no_match,no suitable match found,,,
1346,Sageunay National Park,no_match,no suitable match found,,,
1351,,no_match,no suitable match found,,,
1352,North Carolina Wall,no_match,no suitable match found,,,
1359,,skipped,no location text,,,
1367,,no_match,no suitable match found,,,
1392,,no_match,no suitable match found,,,
1395,,skipped,no location text,,,
1396,Lady,mountains_db,,40.3428,-105.6836,Lady
1409,s Grand Wall,no_match,no suitable match found,,,
1417,CMC Wall,no_match,no suitable match found,,,
1422,,no_match,no suitable match found,,,
1444,,skipped,no location text,,,
