mountain_id,name,alt_names,elevation_ft,prominence_ft,type,range,state,latitude,longitude,location,accident_count
1,McKinley,Denali,20310.0,20156.0,peak,Alaska Range,Alaska,63.0695,-151.0074,Austrian Mountain,197
2,Rainier,,14411.0,13211.0,peak,Cascade Range,Washington,46.8523,-121.7603,Mount Rainier National Park,102
3,Hood,,11250.0,7706.0,peak,Cascade Range,Oregon,45.3736,-121.696,Portland Mountain,70
4,Shasta,,14179.0,9832.0,peak,Cascade Range,California,41.4093,-122.1949,Bay Area Mountain,61
5,Longs,,14259.0,2942.0,peak,Front Range,Colorado,40.2549,-105.6151,Rocky Mountain National Park,41
6,Washington,,6288.0,6148.0,peak,Presidential Range,New Hampshire,44.2705,-71.3033,New Hampshire Mountain,41
7,Temple,,11627.0,2090.0,peak,Canadian Rockies,Alberta,51.35,-116.2167,Rocky Mountain,24
8,Redgarden,,7000.0,,crag,Front Range,Colorado,39.9311,-105.2928,Eldorado Canyon State Park,16
9,Robson,,12972.0,9908.0,peak,Canadian Rockies,British Columbia,53.1097,-119.1564,Rocky Mountain,12
10,Athabasca,,11453.0,2979.0,peak,Canadian Rockies,Alberta,52.6942,-117.2133,Rocky Mountain,12
11,Jefferson,,10502.0,4810.0,peak,Cascade Range,Oregon,44.6744,-121.799,I have been compiling and editing Accidents in North American Mountain,12
12,Rundle,,9675.0,2775.0,peak,Canadian Rockies,Alberta,51.1333,-115.4333,Rocky Mountain,12
13,Baker,,10781.0,8812.0,peak,North Cascades,Washington,48.7767,-121.8144,a party of 11 was on three ropes descending the Roman Wall,11
14,Teewinot,,12330.0,1230.0,peak,Teton Range,Wyoming,43.7763,-110.8219,Grand Teton National Park,11
15,Yamnuska,,7903.0,1079.0,peak,Canadian Rockies,Alberta,51.13,-114.98,Rocky Mountain,11
16,Cathedral,,,,unknown,,California,37.8651,-119.5383,Yosemite National Park,10
17,Cascade,,,,unknown,,Alberta,40.3428,-105.6836,Rocky Mountain,10
18,Moran,,,,unknown,,Wyoming,43.7904,-110.6818,Grand Teton National Park,10
19,Whitney,,14505.0,10080.0,peak,Sierra Nevada,California,36.5785,-118.2923,China Lake Mountain,10
20,Pilot,,,,unknown,,North Carolina,36.3378,-80.4697,Pilot Mountain State Park,10
21,Crowders,,,,unknown,,North Carolina,35.2095,-81.2981,Crowders Mountain State Park,9
22,Hunter,,14573.0,3966.0,peak,Alaska Range,Alaska,62.9804,-151.0984,Andy Carson and Charles Crag,9
23,Red Garden,,,,unknown,,Colorado,39.9311,-105.2928,Eldorado Canyon State Park,8
24,Back of the Lake,,,,unknown,,Alberta,40.3428,-105.6836,Rocky Mountain,8
25,Andromeda,,11319.0,1460.0,peak,Canadian Rockies,Alberta,52.2,-117.2833,Rocky Mountains,8
26,Hallett,,,,unknown,,Colorado,40.3428,-105.6836,Rocky Mountain National Park,8
27,Logan,,,,unknown,,Washington,41.7369,-111.8225,the Kluane National Park,8
28,Moore's,,,,unknown,,North Carolina,36.3956,-80.2628,s Wall,7
29,Tunnel,,,,unknown,,Alberta,40.3428,-105.6836,Rocky Mountain,7
30,Shuksan,,9131.0,4426.0,peak,North Cascades,Washington,48.8098,-121.6065,A North Cascade National Park,7
31,Foraker,,17400.0,7250.0,peak,Alaska Range,Alaska,62.9604,-151.3998,Mountain,7
32,Wilson,,,,unknown,,Alberta,51.45,-116.0667,Banff National Park,7
33,Lefroy,,,,unknown,,Alberta,51.3667,-116.3333,Rocky Mountain,7
34,Edith,,,,unknown,,Alberta,40.3428,-105.6836,Rocky Mountain,7
35,Disappointment,,,,unknown,,Wyoming,43.076,-107.2903,Disappointment Peak,7
36,Stuart,,9415.0,5330.0,peak,Cascade Range,Washington,47.4753,-120.9025,,6
37,Adams,,12281.0,8116.0,peak,Cascade Range,Washington,46.2024,-121.4909,Mount Adams,6
38,Olympus,,7980.0,7818.0,peak,Olympic Mountains,Washington,47.8013,-123.7108,Olympic National Park,6
39,Owen,,12928.0,648.0,peak,Teton Range,Wyoming,43.7429,-110.7958,They treated his injuries and sent other climbers in the area for assistance from Grand Teton National Park,6
40,Sir,,,,unknown,,British Columbia,50.2667,-117.2833,Selkirk Mountain,5
41,Aberdeen,,,,unknown,,Alberta,40.3428,-105.6836,Rocky Mountain,5
42,Victoria,,,,unknown,,Alberta,51.3994,-116.3186,Rocky Mountain,5
43,Thompson,,,,unknown,,Washington,47.7511,-120.7401,five climbers left base camp between Mount Thompson and Bumblebee Pass at 0500 for a Mountain,5
44,John,,,,unknown,,Alberta,,,CMC Wall,5
45,Minsi,,,,unknown,,Delaware,,,,5
46,Camelback,,,,unknown,,Arizona,34.0489,-111.0937,Camelback Mountain,5
47,Happy Hour,,,,unknown,,Colorado,40.015,-105.405,Boulder Canyon,5
48,Table Rock,,,,unknown,,North Carolina,35.98,-81.88,Table Rock Mountain,4
49,Barber,,,,unknown,,New Hampshire,43.1939,-71.5724,Barber Wall,4
50,Stone,,,,unknown,,North Carolina,36.4,-81.0333,Stone Mountain,4
51,Crestone,,14300.0,1920.0,peak,Sangre de Cristo,Colorado,37.9669,-105.5853,Crestone Peak,4
52,Storm,,,,unknown,,Utah,39.321,-111.0937,Wasatch Mountain,4
53,Mckinley,,,,unknown,,Alaska,40.3428,-105.6836,Mountain,4
54,Dennis,,,,unknown,,British Columbia,40.3428,-105.6836,Rocky Mountain,4
55,Ragged,,,,unknown,,Connecticut,41.6333,-72.7833,Ragged Mountain,4
