route_id,name,mountain_id,mountain_name,grade,grade_yds,length_ft,pitches,type,first_ascent_year,latitude,longitude,accident_count,mp_route_id
1,West Buttress,53,McKinley,5.0,5.0,16000.0,,alpine,1951.0,63.0695,-151.0074,30,
2,Redgarden Wall,8,Redgarden,5.8,,600.0,6.0,trad,,39.9311,-105.2928,8,202008095.0
3,East Ridge,7,Temple,5.4,,3500.0,10.0,alpine,,51.35,-116.2167,6,106997654.0
4,Liberty Ridge,2,Rainier,Grade IV 5.4,5.4,10000.0,,alpine,1935.0,46.8523,-121.7603,5,106459197.0
5,East Face,5,Longs,5.8,,1200.0,8.0,alpine,,40.2549,-105.6151,4,105998005.0
6,South Side Route,3,Hood,Grade II,,5200.0,,alpine,,45.3736,-121.696,4,105792904.0
7,Aemmer Couloir,7,Temple,WI4,,2000.0,8.0,ice,,51.35,-116.2167,4,126226596.0
8,Red Gully,51,Crestone,Class 4,,3000.0,,alpine,,37.9669,-105.5853,4,116363975.0
9,East Face,14,Teewinot,5.4,,1000.0,6.0,alpine,,43.7763,-110.8219,4,105845113.0
10,Casual Route,5,Longs,5.10a,,900.0,6.0,trad,,40.2549,-105.6151,3,105748496.0
11,Cassin Ridge,53,McKinley,VI 5.8 AI4,5.8,8000.0,40.0,alpine,1961.0,63.0695,-151.0074,3,
12,football field,53,McKinley,Alaska Grade 2,,16000.0,,alpine,,63.0695,-151.0074,3,
13,North Face,5,Longs,5.4,,1500.0,10.0,alpine,,40.2549,-105.6151,3,113281662.0
14,Kautz Glacier Route,2,Rainier,Grade III,,9000.0,,alpine,,46.8523,-121.7603,3,
15,Kain Face,9,Robson,5.8,,4000.0,20.0,alpine,,53.1097,-119.1564,3,106998345.0
16,East Buttress,19,Whitney,5.7,,1200.0,14.0,alpine,,36.5785,-118.2923,2,105789686.0
17,Blitzen Ridge,141,Ypsilon,5.6,,1500.0,8.0,alpine,,40.3428,-105.6836,2,105754804.0
18,Bell Cord Couloir,113,Maroon Bells,Class 4,,3500.0,,alpine,,39.5501,-105.7821,2,105758709.0
19,Southside Route,3,Hood,Grade II,,5200.0,,alpine,,45.3736,-121.696,2,
20,Barber Wall,49,Barber,,,,,trad,,43.1939,-71.5724,2,105922841.0
21,Avalanche Gulch Route,4,Shasta,Grade II,,7000.0,,alpine,,41.4093,-122.1949,2,
22,South Ridge,34,Edith,5.4,,2500.0,8.0,alpine,,40.3428,-105.6836,2,106115237.0
23,AAI 2,53,McKinley,Alaska Grade 2,,16000.0,,alpine,,63.0695,-151.0074,2,
24,Slipstream,83,Snowdome,WI4+,,2000.0,10.0,ice,,52.8734,-117.9543,2,119219878.0
25,Sentinel Buttress,28,Moore's,5.7,,400.0,4.0,trad,,36.3956,-80.2628,2,106175435.0
26,Salathé Wall,75,Salathé,5.9 C2,,3200.0,35.0,big_wall,,36.7783,-119.4179,2,106154042.0
27,tourist route,7,Temple,5.4,,3500.0,10.0,alpine,,51.35,-116.2167,2,
28,standard,16,Cathedral,5.6,,400.0,4.0,trad,,37.8651,-119.5383,2,105949237.0
29,Red Wall,21,Crowders,5.9,,300.0,3.0,trad,,35.2095,-81.2981,2,107101525.0
30,Red Garden Wall,23,Red Garden,,,,,trad,,39.9311,-105.2928,2,
31,Orient Express,53,McKinley,,,,,unknown,,63.0695,-151.0074,2,
32,Northeast Ridge,59,Ha Ling,,,,,alpine,,51.0667,-115.4,2,113618035
33,Northeast Ridge,10,Athabasca,,,,,alpine,,52.6942,-117.2133,2,113618035
34,North Ridge,13,Baker,Grade III 5.4,,6000.0,,alpine,,48.7767,-121.8144,2,106445849.0
35,Leuthold Couloir,3,Hood,Grade III AI3,,5000.0,,alpine,1959.0,45.3736,-121.696,2,105793182.0
36,Keyhole Route,5,Longs,Grade II 5.2,5.2,2800.0,,alpine,1868.0,40.2549,-105.6151,2,123687113.0
37,West Ridge,43,Thompson,,,,,alpine,,47.7511,-120.7401,2,112049589.0
38,West Face,6,Washington,,,,,alpine,,44.2705,-71.3033,2,120322178.0
39,Ingraham Direct Glacier Route,2,Rainier,,,,,alpine,,46.8523,-121.7603,2,
40,Weeping Wall,62,Weeping,,,,,trad,,40.3428,-105.6836,2,107622966.0
41,East Ridge,27,Logan,,,,,alpine,,41.7369,-111.8225,2,106457887.0
42,East Ridge,34,Edith,,,,,alpine,,40.3428,-105.6836,2,105946596.0
43,East Face,19,Whitney,III 5.7,5.7,1000.0,11.0,alpine,1931.0,36.5785,-118.2923,2,105792077.0
