weather_id,accident_id,date,latitude,longitude,temperature_avg,temperature_min,temperature_max,wind_speed_avg,wind_speed_max,precipitation_total,visibility_avg,cloud_cover_avg
1,,1983-10-10,47.75,-120.74,7.35,3.2,13.3,6.48,8.3,0.0,,34.75
2,,1983-10-11,47.75,-120.74,9.03,1.1,16.9,2.96,7.0,0.0,,30.33
3,,1983-10-12,47.75,-120.74,9.55,4.4,15.0,3.08,7.4,0.0,,40.54
4,,1983-10-13,47.75,-120.74,6.01,3.6,9.9,8.64,11.6,0.0,,92.5
5,,1983-10-14,47.75,-120.74,5.55,2.9,9.5,8.41,11.9,0.0,,78.12
6,1.0,1983-10-15,47.75,-120.74,7.23,2.4,12.4,3.69,6.4,0.0,,51.38
7,,1983-10-16,47.75,-120.74,6.94,4.5,10.2,3.12,6.5,0.1,,98.67
8,,1989-02-13,63.07,-151.01,-27.65,-30.4,-26.8,1.77,2.2,0.0,,51.08
9,,1989-02-14,63.07,-151.01,-27.67,-29.8,-26.4,1.14,1.8,0.0,,89.29
10,,1989-02-15,63.07,-151.01,-29.27,-30.5,-28.2,0.91,1.5,0.0,,96.54
11,2.0,1989-02-16,63.07,-151.01,-29.64,-30.4,-29.0,2.08,2.5,0.0,,43.12
12,,1989-02-17,63.07,-151.01,-28.18,-29.4,-26.8,1.6,1.8,0.0,,5.75
13,,1989-02-18,63.07,-151.01,-27.65,-28.8,-25.9,0.58,1.1,0.0,,0.12
14,,1989-02-19,63.07,-151.01,-26.35,-29.7,-25.4,0.39,0.5,0.0,,1.12
15,3.0,1989-02-20,33.87,-115.9,13.37,5.8,20.1,8.78,12.1,0.0,,4.17
16,,1989-02-21,33.87,-115.9,14.58,8.5,20.2,4.99,8.1,0.0,,9.92
17,,1989-02-22,33.87,-115.9,16.41,9.4,22.6,5.06,9.0,0.0,,59.79
18,,1989-02-23,33.87,-115.9,19.6,13.7,26.2,5.73,8.6,0.0,,47.12
19,,1989-02-24,33.87,-115.9,20.6,15.9,26.6,5.58,9.7,0.0,,72.75
20,,1989-02-25,33.87,-115.9,21.23,15.9,27.2,5.57,9.0,0.0,,39.0
21,,1989-02-26,33.87,-115.9,21.16,15.0,28.2,9.15,13.6,0.0,,45.92
22,,1989-03-06,43.3,-74.22,-10.49,-15.8,-6.8,13.29,15.5,0.0,,98.21
23,,1989-03-07,43.3,-74.22,-18.1,-22.7,-13.2,13.58,16.4,0.0,,22.17
24,,1989-03-08,43.3,-74.22,-13.62,-23.5,-4.5,7.53,10.7,0.0,,2.54
25,,1989-03-09,43.3,-74.22,-6.35,-16.3,1.9,5.94,11.7,0.0,,20.25
26,,1989-03-10,43.3,-74.22,-4.64,-13.3,2.6,6.2,11.2,0.0,,0.0
27,4.0,1989-03-11,43.3,-74.22,-1.52,-8.7,4.3,5.65,8.7,0.7,,79.12
28,,1989-03-12,43.3,-74.22,-2.68,-10.7,0.8,11.59,17.4,1.4,,66.0
29,,1989-03-13,36.4,-80.26,4.97,3.7,6.6,7.3,13.6,3.6,,99.96
30,,1989-03-14,36.4,-80.26,6.68,2.6,11.7,7.14,13.8,0.2,,95.96
31,,1989-03-15,36.4,-80.26,12.8,7.8,19.5,13.55,17.7,4.2,,84.67
32,,1989-03-16,36.4,-80.26,10.5,5.9,16.3,7.91,14.6,1.6,,38.12
33,,1989-03-17,36.4,-80.26,11.61,4.3,18.8,9.62,14.8,0.0,,0.79
34,5.0,1989-03-18,36.4,-80.26,14.47,9.7,22.3,13.58,19.4,8.6,,53.92
35,,1989-03-19,36.4,-80.26,6.92,1.9,11.6,11.38,17.1,0.0,,4.29
36,,2001-07-30,46.85,-121.76,-9.13,-13.2,-5.6,5.85,9.8,0.7,,78.54
37,,2001-07-31,46.85,-121.76,-8.58,-12.2,-3.4,4.61,8.4,0.0,,57.33
38,6.0,2001-08-01,46.85,-121.76,-7.48,-14.1,-1.0,5.0,10.5,0.0,,84.71
39,,2001-08-02,46.85,-121.76,-5.86,-11.3,0.5,5.61,8.9,0.0,,36.21
40,,2001-08-03,46.85,-121.76,-7.76,-10.4,-4.5,5.75,9.4,1.0,,74.29
41,,2001-08-04,46.85,-121.76,-9.13,-11.5,-6.1,5.45,8.8,0.5,,74.21
42,,2001-08-05,46.85,-121.76,-6.44,-13.6,0.3,6.67,12.4,0.0,,35.83
43,,1989-03-27,40.34,-105.68,-1.68,-6.2,4.1,9.17,12.1,1.2,,56.62
44,,1989-03-28,40.34,-105.68,-0.43,-6.3,6.1,12.6,19.1,0.0,,9.79
45,7.0,1989-03-29,40.34,-105.68,-1.55,-4.5,2.0,10.4,17.1,5.6,,74.67
46,,1989-03-30,40.34,-105.68,-6.28,-10.4,-3.0,16.71,29.6,1.7,,44.88
47,,1989-03-31,40.34,-105.68,-3.63,-12.8,4.5,12.97,22.1,1.0,,46.88
48,,1989-04-01,40.34,-105.68,-2.3,-6.7,0.4,7.2,10.2,10.4,,81.88
49,,1989-04-02,40.34,-105.68,-2.4,-6.2,1.5,14.65,24.1,8.6,,82.79
50,,1989-04-10,64.2,-149.49,-0.65,-6.0,4.5,3.52,8.2,0.0,,76.04
51,,1989-04-11,64.2,-149.49,0.95,-4.6,5.9,3.87,8.0,0.0,,83.04
52,,1989-04-12,64.2,-149.49,1.43,-2.8,6.1,9.8,13.1,0.0,,67.04
53,,1989-04-13,64.2,-149.49,1.58,-3.3,7.1,7.82,13.7,0.0,,7.88
54,8.0,1989-04-14,64.2,-149.49,0.65,-4.1,5.6,8.06,13.7,0.0,,16.17
55,,1989-04-15,64.2,-149.49,1.96,-3.9,7.1,12.98,18.7,0.0,,24.96
56,,1989-04-16,64.2,-149.49,1.6,-1.5,4.2,8.38,17.9,2.7,,94.75
57,,1989-04-17,53.93,-116.58,-2.19,-13.4,6.4,10.23,16.8,0.0,,13.62
58,9.0,1989-04-18,53.93,-116.58,1.95,-7.0,10.2,8.25,11.9,0.0,,65.12
59,,1989-04-19,53.93,-116.58,4.58,-1.3,10.7,6.8,11.3,0.2,,75.83
60,,1989-04-20,53.93,-116.58,4.87,-2.3,12.1,7.69,12.5,0.0,,86.0
61,,1989-04-21,53.93,-116.58,4.75,-0.2,9.3,9.41,14.0,0.1,,63.71
62,,1989-04-22,53.93,-116.58,1.42,-2.5,4.0,5.33,8.5,2.1,,99.12
63,,1989-04-23,53.93,-116.58,1.39,-2.0,5.2,6.78,13.4,0.1,,99.29
